Experiment,mess_prob,entropy
cz: char-modif,0.0,4.747831
cz: char-modif,1e-05,4.747747
cz: char-modif,0.0001,4.746977
cz: char-modif,0.001,4.738461
cz: char-modif,0.01,4.658294
cz: char-modif,0.05,4.337286
cz: char-modif,0.1,4.006359
cz: word-modif,0.0,4.747831
cz: word-modif,1e-05,4.747816
cz: word-modif,0.0001,4.747737
cz: word-modif,0.001,4.747001
cz: word-modif,0.01,4.739049
cz: word-modif,0.05,4.699098
cz: word-modif,0.1,4.636738
en: char-modif,0.0,5.287485
en: char-modif,1e-05,5.287469
en: char-modif,0.0001,5.287050
en: char-modif,0.001,5.283712
en: char-modif,0.01,5.250349
en: char-modif,0.05,5.055413
en: char-modif,0.1,4.730792
en: word-modif,0.0,5.287485
en: word-modif,1e-05,5.287519
en: word-modif,0.0001,5.287678
en: word-modif,0.001,5.289496
en: word-modif,0.01,5.306659
en: word-modif,0.05,5.381039
en: word-modif,0.1,5.458365
