loss	cls_a	cls_b
0.0030828843	{'OKD'}	{'listopadu'}
0.0033734316	{'které'}	{'který'}
0.0040249664	{'J'}	{'státu'}
0.0044216002	{'bude'}	{'musí'}
0.0046037827	{'aby'}	{'ale'}
0.0046470483	{'bylo'}	{'nás'}
0.0049914093	{'pouze'}	{'si'}
0.0050000000	{'mezi'}	{'už'}
0.0055612781	{'&slash;'}	{'NATO'}
0.0055642699	{'jeho'}	{'ze'}
0.0057427846	{'být'}	{'však'}
0.0057500000	{'byl'}	{'jsou'}
0.0060000000	{'?'}	{'před'}
0.0062500000	{'budou'}	{'jako'}
0.0068994193	{'při'}	{'zákona'}
0.0071235030	{'Na'}	{'V'}
0.0075558125	{'u'}	{'za'}
0.0082445344	{'od'}	{'včera'}
0.0097319588	{'po'}	{'ČSFR'}
0.0114038944	{'pro'}	{'ve'}
0.0137417128	{'k'}	{'to'}
0.0165200358	{'by'}	{'do'}
0.0172212023	{'i'}	{'je'}
0.0184291685	{':'}	{'z'}
0.0187382651	{')'}	{'listopadu', 'OKD'}
0.0207948456	{'J', 'státu'}	{'s'}
0.0213035519	{'nás', 'bylo'}	{'že'}
0.0235298666	{'NATO', '&slash;'}	{'('}
0.0269168636	{'bude', 'musí'}	{'o'}
0.0270673859	{'"'}	{'si', 'pouze'}
0.0274230231	{'-'}	{'mezi', 'už'}
0.0291266369	{'jsou', 'byl'}	{'se'}
0.0296471988	{'však', 'být'}	{'na'}
0.0326038658	{'a'}	{'které', 'který'}
0.0336144636	{'zákona', 'při'}	{'v'}
0.0379263050	{','}	{'budou', 'jako'}
0.0385017124	{'.'}	{'?', 'před'}
0.0441095367	{'listopadu', ')', 'OKD'}	{'jeho', 'ze'}
0.0456508520	{'včera', 'od'}	{'ČSFR', 'po'}
0.0464102422	{'které', 'který', 'a'}	{'aby', 'ale'}
0.0572678064	{'si', 'pouze', '"'}	{'za', 'u'}
0.0661938237	{'-', 'mezi', 'už'}	{'to', 'k'}
0.0704199009	{'budou', ',', 'jako'}	{'V', 'Na'}
0.0742391594	{'?', '.', 'před'}	{'ve', 'pro'}
0.0931638456	{'jeho', ')', 'OKD', 'listopadu', 'ze'}	{'i', 'je'}
0.0949143468	{'budou', ',', 'V', 'jako', 'Na'}	{'nás', 'bylo', 'že'}
0.0931009048	{'budou', ',', 'V', 'bylo', 'jako', 'Na', 'že', 'nás'}	{'by', 'do'}
0.1028704154	{'které', 'aby', 'který', 'ale', 'a'}	{'včera', 'ČSFR', 'po', 'od'}
0.1119167758	{'(', 'NATO', '&slash;'}	{'ve', '.', 'před', 'pro', '?'}
0.1194717745	{'"', 'si', 'u', 'za', 'pouze'}	{':', 'z'}
0.1321636571	{',', 'bylo', 'Na', 'do', 'nás', 'budou', 'V', 'jako', 'že', 'by'}	{'s', 'J', 'státu'}
0.1693827984	{'jeho', 'i', 'je', ')', 'OKD', 'listopadu', 'ze'}	{'mezi', 'k', '-', 'už', 'to'}
0.1920646782	{'včera', 'od', 'ČSFR', 'po', 'a', 'které', 'aby', 'který', 'ale'}	{'o', 'bude', 'musí'}
0.2081741821	{',', 'bylo', 'Na', 'do', 'nás', 'budou', 'V', 'jako', 'že', 'státu', 'by', 'J', 's'}	{'jsou', 'se', 'byl'}
0.2562081242	{':', 'z', '"', 'si', 'u', 'za', 'pouze'}	{'však', 'být', 'na'}
0.2991442868	{',', 'bylo', 'se', 'Na', 'do', 'nás', 'byl', 'budou', 'V', 'jsou', 'jako', 'že', 'státu', 'by', 'J', 's'}	{'zákona', 'při', 'v'}
0.3303851803	{'jeho', 'je', 'mezi', ')', 'k', 'listopadu', 'ze', '-', 'už', 'to', 'i', 'OKD'}	{'včera', 'od', 'ČSFR', 'po', 'musí', 'a', 'které', 'aby', 'který', 'ale', 'bude', 'o'}
0.4284573669	{'na', '"', 'u', 'však', ':', 'z', 'být', 'si', 'za', 'pouze'}	{'se', 'Na', 'byl', 'budou', 'V', 'jsou', 'zákona', 'že', 'by', 'J', ',', 'bylo', 'v', 'do', 'nás', 'při', 'jako', 'státu', 's'}
0.7757462976	{'před', 'pro', '&slash;', '(', 'NATO', 've', '.', '?'}	{'jeho', 'je', ')', 'listopadu', 'už', 'a', 'které', 'aby', 'který', 'OKD', 'ale', 'bude', 'včera', 'mezi', 'od', 'k', 'ČSFR', 'ze', '-', 'po', 'musí', 'to', 'i', 'o'}
1.1352635637	{'se', '"', 'Na', 'byl', 'budou', 'V', 'jsou', 'zákona', 'že', 'si', 'by', 'pouze', 'J', ',', 'na', 'bylo', 'v', 'u', 'však', 'do', 'nás', ':', 'z', 'být', 'při', 'jako', 'státu', 'za', 's'}	{'jeho', ')', 'a', 'ale', 'bude', 'před', 'k', 'ze', 'po', 'musí', 'to', '(', 've', '?', 'je', 'listopadu', 'už', 'které', 'aby', '.', 'který', 'OKD', 'včera', 'mezi', 'od', 'pro', '&slash;', 'ČSFR', '-', 'i', 'NATO', 'o'}
